A–o;periodo;LCC;ACC;peso;Huevos;playa;distancia;profNido;crias_Emerg;crias_Muertas;hrotos;cangrejos
2004;3;80,7;73,9;58,6;84;Ponta Cosme;19,6;42,3;1;0;83;1
2002;1;82,8;74,5;58,4;87;Ponta Cosme;34,3;47,9;14;2;71;1
2003;5;80,3;76;61,4;72;Ervatao;39,5;68,2;49;0;23;0
2001;3;80,4;76,7;58,2;70;Porto Ferreiro;12;39,3;43;3;24;0
2000;3;85,9;79,8;65,3;77;Calheta;15,9;33,5;69;0;8;0
2003;3;80,7;75,7;59,5;94;Ponta Cosme;20,7;41,5;5;1;88;0
1999;5;84,3;73,3;55,3;75;Ervatao;17,5;51,4;61;6;8;0
2000;2;84,4;80,9;60,3;86;Porto Ferreiro;21,6;46,7;0;0;86;1
2001;4;86,6;78,1;68,3;75;Ponta Cosme;26;40,3;36;0;39;1
2002;2;82,2;78,3;61,7;76;Porto Ferreiro;16,5;38,5;0;0;76;1
2003;1;84,7;83,8;65,1;80;Ponta Cosme;20,7;46,6;;;;
2003;1;85,8;82,9;63,8;96;Ervatao;25,2;52,9;;;;
2003;4;80,9;74,9;55,9;87;Ervatao;27,2;60,9;;;;
2002;4;80,3;77,2;58;80;Ervatao;29,5;56,6;45;0;35;1
1999;2;79,3;76,3;67;120;Ponta Cosme;26,6;46,8;95;0;25;0
2000;3;73,4;73;49,9;64;Ervatao;26,3;65,2;57;0;7;0
2003;3;86,2;84;72,3;101;Ponta Cosme;24;42,9;;;;
2002;1;74,5;73,1;56,5;78;Ervatao;19,3;54,7;58;0;20;0
2004;4;88,5;84,6;61,9;108;Ponta Cosme;36,4;53,4;;;;
1999;3;79,4;77,7;59,8;84;Porto Ferreiro;34,1;55,6;;;;
1999;4;87,4;78,6;62,9;84;Calheta;25,5;27,5;0;0;84;1
2003;3;81,8;78,3;60,5;97;Ponta Cosme;20,5;48,2;0;0;97;1
1999;4;85,1;80,8;71,9;101;Calheta;24,8;37,5;44;0;57;1
2003;4;80,6;74,6;66,4;65;Ervatao;23,6;56,4;35;0;30;0
2003;5;78,1;73,5;65,5;66;Ponta Cosme;23,8;46,5;51;0;15;0
2000;2;81,5;73,3;58;83;Calheta;22,5;32,3;42;0;41;0
1999;5;83,2;75,7;68;77;Ervatao;27,9;54,7;41;5;31;0
1999;4;82,2;74,4;62,3;77;Ponta Cosme;20;41,2;49;4;24;0
1999;3;81,5;77;60,2;92;Ervatao;13,5;56,2;70;1;21;0
2004;5;75,9;76,9;56,6;67;Ervatao;27,2;70,9;58;3;6;0
2000;1;82;80;56,2;91;Ervatao;29;59,9;;;;
1999;1;80,7;74,5;64,1;77;Ervatao;42,8;74,3;;;;
1999;5;94,5;86,8;72,1;107;Ponta Cosme;32,7;52,9;;;;
2000;5;81,1;77,7;59,4;76;Ervatao;18,4;51,6;62;0;14;0
2004;5;86,6;82,9;62,6;85;Ervatao;10,5;52,1;69;1;15;0
2002;3;81,9;76,7;60,4;63;Ponta Cosme;21;38,2;29;3;31;1
2004;3;81,6;78,5;54,1;90;Calheta;30,7;40,5;70;1;19;0
2004;2;83;79,4;62,1;73;Ervatao;14,5;54,4;33;9;31;0
1999;5;86,7;81,7;67,1;89;Ponta Cosme;22,3;44,2;2;0;87;1
2001;4;83,2;79,6;64,6;73;Ponta Cosme;31,4;46,2;48;0;25;0
2004;3;81,2;76,8;59,4;82;Porto Ferreiro;19,2;39,9;;;;
2001;2;83,6;76,7;60;87;Ervatao;18,7;56,9;70;0;17;0
2003;5;75,7;74,4;52,5;61;Ervatao;18,2;50,9;;;;
2000;3;78;73,5;56,9;78;Porto Ferreiro;32;52,7;;;;
2003;5;89,7;78,2;60,4;93;Ponta Cosme;13,6;39,4;;;;
2000;1;81,9;77,7;57,4;71;Ponta Cosme;46,5;60,4;;;;
1999;1;80;72,9;61,9;88;Porto Ferreiro;17,7;37,3;32;10;46;0
2003;4;89,7;81,5;68,6;81;Ponta Cosme;30,4;44,8;46;1;34;0
2000;2;87;82,2;66,4;102;Ervatao;19,1;57;57;0;45;0
2002;3;78,7;74;62,9;79;Calheta;20,5;37,2;;;;
