Partido_Politico,Texto
CREO,"Apoyando al agro, con préstamos de 1000 millones a los agricultores, en forma de crédito.   #AguaParaManabí #ConLassoHayPAN #ConLassoHayEMPLEO #CapacidadParaCambiar https://t.co/8ipVoGkPaK"
CREO,Necesitamos crecimiento económico para rescatar al Ecuador. Apoyar a los emprendedores generará más empleo.   #AguaParaManabí #ConLassoHayPAN #ConLassoHayEMPLEO #CapacidadParaCambiar
CREO,Se generarán dos millones de empleos para los ecuatorianos.   #AguaParaManabí #ConLassoHayPAN #ConLassoHayEMPLEO #CapacidadParaCambiar https://t.co/XMXuAzicdK
CREO,#LassoPresidente2021   ¡Recorriendo el país imparable! https://t.co/4URAPOoPHb
CREO,#LassoPresidente2021 #CapacidadParaCambiar #La21enel21 https://t.co/CJsB7hGbnb
CREO,#LassoPresidente2021 #LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE #LASSOGANADEBATE https://t.co/ReiZEAZvr1
CREO,"Los corruptos deben ir presos, los criminales deben ir presos y los que han sido juzgados por actos criminales y de corrupción deben cumplir sus sentencias.  #LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE #CapacidadParaCambiar  #LassoPresidente2021 https://t.co/wFwiiFxujh"
CREO,El pueblo ecuatoriano está harto de vivir todos los días con miedo. De salir de casa y no saber si regresará sano y salvo.  ¡Llegó la hora de corregir esto y cambiemos el futuro! #LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE #CapacidadParaCambiar  #LassoPresidente2021 https://t.co/JXhfT1jVcQ
CREO,Reforzaremos los sistemas de salud para que cada una de las familias ecuatorianas reciban una mejor atención para una mejor calidad de vida.   #LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE #LASSOGANADEBATE https://t.co/Fj4p9ceZDc
CREO,#LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE https://t.co/8nGn5Ma2bV
CREO,#LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE https://t.co/WTwxmWnDbw
CREO,#LASSOsíDebate #LASSOesCAMBIO #CONLASSOENEL21 #LASSOSABE https://t.co/ttNt6RW10l
CREO,Los ecuatorianos confirmamos que necesitamos un cambio urgente y nosotros vamos con todo para lograrlo porque cada ecuatoriano merece una vida digna. #la21enel21 #capacidadparacambiar https://t.co/nXKcACCddi
CREO,Encabezamos el mejor proyecto que dará como resultado un Ecuador próspero para todos los ciudadanos #la21enel21 #Capacidadparacambiar https://t.co/WFb4pV90rp
CREO,"Nuestro gobierno planea una nueva forma de trabajar para crear soluciones. En los últimos meses hemos recorrido las calles del Ecuador, y nos hemos percatado del inminente cambio que necesita nuestro país. ¡El cambio viene con todo! #CapacidadParaCambiar #la21enel21 https://t.co/rF3r9zFtGt"
CREO,En la papeleta solo vota por el CAMBIO  #la21enel21 #CapacidadParaCambiar https://t.co/h95qJ8x4qM
CREO,"Abriremos las puertas a las oportunidades, luego de 11 años ha sido un camino lleno de desafíos, nos hemos preparado para lo que tenemos ante nosotros: trabajo de transformar al Ecuador en una tierra de oportunidades.  #CapacidadParaCambiar #LassoPresidente2021 #LASSOportunidades https://t.co/aJkCkwwyYM"
CREO,Este 7 de febrero vota por la 21   #LassoPresidente2021  #La21enel21 #CapacidadParaCambiar https://t.co/4bf40jq7GT
CREO,Porque el camino hacia el Ecuador del CAMBIO se lo trabaja día a día.   #LassoPresidente2021 #CapacidadParaCambiar #La21enel21 https://t.co/YJlQoxBdYy
CREO,"Este 7 de febrero ejerzamos un voto responsable, un voto consciente para transformar al país en un #EcuadorDeOportunidades para todos.  #LassoPresidente2021 #La21enel21 #CapacidadParaCambiar https://t.co/EXm805C3uh"
CREO,"Un nuevo año de oportunidades empieza: 2021.  En CREO 21 tenemos el plan, el equipo, la experiencia y la clara visión de que Ecuador merece un cambio. La 21 en el 21  #capacidadparacambiar lo lograremos. https://t.co/waJHOdK2w3"
CREO,La puerta de las oportunidades se abre en el 2021   #ElAñoDelCambio #LassoPresidente2021 #CapacidadParaCambiar https://t.co/Tvdfkih3Aa
